trial_num,change_of_mind
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,0
328,0
